Не	не=PRCL	не=PRCL
столь	столь=ADVB

«	«=UNKN
Мы	мы=NPRO,1per,plur,nomn
очень	очень=ADVB
,	,=PNCT
очень	очень=ADVB
вам	вы=NPRO,2per,plur,datv
сочувствуем	сочувствую=VERB,impf,intr,plur,1per,pres,indc
.	.=PNCT

Вай	вай=UNKN
?	?=PNCT
!	!=PNCT
!	!=PNCT
»	»=UNKN

По-советски	по-советски=ADVB
.	.=PNCT

Наследники	наследник=NOUN,anim,masc,plur,nomn
.	.=PNCT

Алексей	алексей=NOUN,anim,masc,Name,sing,nomn
Шепелёв	шепелёв=UNKN
:	:=PNCT

Вы	вы=NPRO,2per,plur,nomn
бы	бы=PRCL
побежали	побежал=VERB,perf,intr,plur,past,indc
с	с=PREP
ними	они=NPRO,3per,plur,ablt,Af-p
?	?=PNCT

Австралия	австралия=NOUN,inan,femn,Sgtm,Geox,sing,nomn

Почему	почему=ADVB,Ques
?	?=PNCT

К	к=PREP
слову	слово=NOUN,inan,neut,sing,datv
,	,=PNCT
однажды	однажды=ADVB
Александр	александр=NOUN,anim,masc,Name,sing,nomn
Друзь	друзь=UNKN
пошёл	пошёл=VERB,perf,intr,masc,sing,past,indc
на	на=PREP
программу	программа=NOUN,inan,femn,sing,accs
«	«=UNKN
Кто	кто=NPRO,masc,sing,nomn
хочет	хочу=VERB,impf,tran,sing,3per,pres,indc
стать	стать=INFN,perf,intr
миллионером	миллионер=NOUN,anim,masc,sing,ablt
?	?=PNCT
»	»=UNKN
.	.=PNCT

Спортивная	спортивный=ADJF,Qual,femn,sing,nomn
версия	версия=NOUN,inan,femn,sing,nomn
ЧГК	чгк=UNKN
—	—=UNKN
реальная	реальный=ADJF,Qual,femn,sing,nomn
субкультура	субкультура=NOUN,inan,femn,sing,nomn
.	.=PNCT

Докатились	докатился=VERB,perf,intr,plur,past,indc
.	.=PNCT

АнтиПоттер	антипоттер=UNKN

Профессия	профессия=NOUN,inan,femn,sing,nomn
обязывает	обязую=VERB,impf,tran,sing,3per,pres,indc
.	.=PNCT

Не	не=PRCL
смогла	смог=VERB,perf,intr,femn,sing,past,indc
.	.=PNCT

Без	без=PREP
букв	буква=NOUN,inan,femn,plur,gent

Купи	купил=VERB,perf,tran,sing,impr,excl
палочку	палочка=NOUN,inan,femn,sing,accs
.	.=PNCT

ГП	гп=UNKN

Зачем	зачем=ADVB,Ques,Prdx
?	?=PNCT

Глубже	глубже=COMP,Qual
некуда	некуда=PRED,pres

«	«=UNKN
Крестьянка	крестьянка=NOUN,anim,femn,sing,nomn
»	»=UNKN
затеяла	затеял=VERB,perf,tran,femn,sing,past,indc
ребрендинг	ребрендинг=UNKN
.	.=PNCT

Экопаранойя	экопаранойя=UNKN
в	в=PREP
Times	Times=UNKN

Почему	почему=ADVB,Ques
мы	мы=NPRO,1per,plur,nomn
опаздываем	опаздываю=VERB,impf,intr,plur,1per,pres,indc
?	?=PNCT

Бомба	бомба=NOUN,inan,femn,sing,nomn
в	в=PREP
самолёте	самолёт=NOUN,inan,masc,sing,loct

Абстракция	абстракция=NOUN,inan,femn,sing,nomn
«	«=UNKN
очеловечилась	очеловечился=VERB,perf,intr,femn,sing,past,indc
»	»=UNKN
.	.=PNCT

Антиберлускониада	антиберлускониада=UNKN

Антисексус	антисексус=UNKN

«	«=UNKN
Face	Face=UNKN
down	down=UNKN
,	,=PNCT
ass	ass=UNKN
up	up=UNKN
,	,=PNCT
that`s	that`s=UNKN
the	the=UNKN
way	way=UNKN
I	I=UNKN
like	like=UNKN
to	to=UNKN
fuck	fuck=UNKN
»	»=UNKN
,	,=PNCT
—	—=UNKN
жгли	жгу=VERB,impf,tran,plur,past,indc
в	в=PREP
90-е	90-е=UNKN
2	2=UNKN
LIVE	LIVE=UNKN
CREW	CREW=UNKN
.	.=PNCT

Америка	америка=NOUN,inan,femn,Sgtm,Geox,sing,nomn
содрогнулась	содрогнулся=VERB,perf,intr,femn,sing,past,indc
.	.=PNCT

—	—=UNKN
Прикинь	прикинул=VERB,perf,tran,sing,impr,excl
!	!=PNCT

Надоело	надоел=VERB,perf,intr,neut,sing,past,indc
.	.=PNCT

Счастливая	счастливый=ADJF,Qual,femn,sing,nomn
экранизация	экранизация=NOUN,inan,femn,sing,nomn

Не	не=PRCL
раскрутили	раскрутил=VERB,perf,tran,plur,past,indc

21	21=UNKN
-	-=PNCT
22	22=UNKN
октября	октябрь=NOUN,inan,masc,sing,gent
.	.=PNCT

Недоглядел	недоглядел=VERB,perf,tran,masc,sing,past,indc

В	в=PREP
19.58	19.58=UNKN
мск	мск=UNKN
он	он=NPRO,masc,3per,sing,nomn
приземлился	приземлился=VERB,perf,intr,masc,sing,past,indc
на	на=PREP
космодроме	космодром=NOUN,inan,masc,sing,loct
на	на=PREP
мысе	мыс=NOUN,inan,masc,sing,loc1
Канаверал	канаверал=UNKN
во	во=PREP
Флориде	флорида=NOUN,inan,femn,Sgtm,sing,loct
.	.=PNCT

«	«=UNKN
Альтернативная	альтернативный=ADJF,femn,sing,nomn
служба	служба=NOUN,inan,femn,sing,nomn
»	»=UNKN
.	.=PNCT

Литература	литература=NOUN,inan,femn,sing,nomn
online	online=UNKN
.	.=PNCT

Где	где=ADVB,Ques
?	?=PNCT

Dostoevsky	Dostoevsky=UNKN
тм	тм=UNKN

Арестован	арестован=PRTS,perf,past,pssv,masc,sing
по	по=PREP
делу	дело=NOUN,inan,neut,sing,datv
Петрашевского	петрашевского=UNKN
.	.=PNCT

Страдал	страдаю=VERB,impf,intr,masc,sing,past,indc
эпилепсией	эпилепсия=NOUN,inan,femn,sing,ablt
.	.=PNCT

Американская	американский=ADJF,femn,sing,nomn
команда	команда=NOUN,inan,femn,sing,nomn
Ha	Ha=UNKN
Ha	Ha=UNKN
Tonka	Tonka=UNKN
поёт	пою=VERB,impf,tran,sing,3per,pres,indc
:	:=PNCT

сказал	сказал=VERB,perf,tran,masc,sing,past,indc
Сикорски	сикорски=UNKN
в	в=PREP
Брюсселе	брюссель=NOUN,inan,masc,Sgtm,Geox,sing,loct
.	.=PNCT

сказал	сказал=VERB,perf,tran,masc,sing,past,indc
Краснов	краснов=NOUN,anim,masc,Sgtm,Surn,sing,nomn
.	.=PNCT

Группа	группа=NOUN,inan,femn,sing,nomn
B	B=UNKN

Группа	группа=NOUN,inan,femn,sing,nomn
C	C=UNKN

Группа	группа=NOUN,inan,femn,sing,nomn
D	D=UNKN

Группа	группа=NOUN,inan,femn,sing,nomn
G	G=UNKN

Группа	группа=NOUN,inan,femn,sing,nomn
E	E=UNKN

Группа	группа=NOUN,inan,femn,sing,nomn
F	F=UNKN

1/4	1/4=UNKN
финала	финал=NOUN,inan,masc,sing,gent

1/2	1/2=UNKN
финала	финал=NOUN,inan,masc,sing,gent

Группа	группа=NOUN,inan,femn,sing,nomn
A	A=UNKN

•	•=UNKN
Швеция	швеция=NOUN,inan,femn,Sgtm,Geox,sing,nomn

•	•=UNKN
Швейцария	швейцария=NOUN,inan,femn,Sgtm,Geox,sing,nomn

•	•=UNKN
Латвия	латвия=NOUN,inan,femn,Sgtm,Geox,sing,nomn

•	•=UNKN
Италия	италия=NOUN,inan,femn,Sgtm,Geox,sing,nomn

Группа	группа=NOUN,inan,femn,sing,nomn
B	B=UNKN

•	•=UNKN
Чехия	чехия=NOUN,inan,femn,Sgtm,Geox,sing,nomn

•	•=UNKN
Белоруссия	белоруссия=NOUN,inan,femn,Sgtm,Geox,sing,nomn

•	•=UNKN
Австрия	австрия=NOUN,inan,femn,Sgtm,Geox,sing,nomn

Группа	группа=NOUN,inan,femn,sing,nomn
C	C=UNKN

•	•=UNKN
Канада	канада=NOUN,inan,femn,Sgtm,Geox,sing,nomn

•	•=UNKN
Словакия	словакия=NOUN,inan,femn,Sgtm,Geox,sing,nomn

•	•=UNKN
Норвегия	норвегия=NOUN,inan,femn,Sgtm,Geox,sing,nomn

Группа	группа=NOUN,inan,femn,sing,nomn
D	D=UNKN

•	•=UNKN
Финляндия	финляндия=NOUN,inan,femn,Sgtm,Geox,sing,nomn

•	•=UNKN
Россия	россия=NOUN,inan,femn,Sgtm,Geox,sing,nomn

•	•=UNKN
Украина	украина=NOUN,inan,femn,Sgtm,Geox,sing,nomn

Коротко	коротко=ADVB
остановлюсь	остановился=VERB,perf,intr,sing,1per,futr,indc
на	на=PREP
взаимодействии	взаимодействие=NOUN,inan,neut,sing,loct
с	с=PREP
другими	другой=ADJF,Apro,plur,ablt
нашими	наш=ADJF,Apro,plur,ablt
партнерами	партнёр=NOUN,anim,masc,plur,ablt
.	.=PNCT

Не	не=PRCL
ищите	ищу=VERB,impf,tran,plur,impr,excl
этих	этот=ADJF,Apro,plur,gent
книг	книга=NOUN,inan,femn,plur,gent
в	в=PREP
магазине	магазин=NOUN,inan,masc,sing,loct
.	.=PNCT

Не	не=PRCL
завершила	завершил=VERB,perf,tran,femn,sing,past,indc
учёбу	учёба=NOUN,inan,femn,sing,accs
,	,=PNCT
ушла	ушёл=VERB,perf,intr,femn,sing,past,indc
,	,=PNCT
окунувшись	окунувшись=GRND,perf,intr,past,V-sh
с	с=PREP
головой	голова=NOUN,inan,femn,sing,ablt
,	,=PNCT
в	в=PREP
журналистику	журналистика=NOUN,inan,femn,sing,accs
.	.=PNCT

—	—=UNKN
рассказал	рассказал=VERB,perf,tran,masc,sing,past,indc
Беспалов	беспалов=NOUN,anim,masc,Sgtm,Surn,sing,nomn
.	.=PNCT

Передумали	передумал=VERB,perf,tran,plur,past,indc

Who	Who=UNKN
the	the=UNKN
hell	hell=UNKN
is	is=UNKN
Ben	Ben=UNKN
?	?=PNCT

Объявлен	объявлен=PRTS,perf,past,pssv,masc,sing
победитель	победитель=NOUN,anim,masc,sing,nomn
конкурса	конкурс=NOUN,inan,masc,sing,gent
The	The=UNKN
Best	Best=UNKN
Job	Job=UNKN
In	In=UNKN
The	The=UNKN
World	World=UNKN

Google	Google=UNKN
находит	нахожу=VERB,impf,tran,sing,3per,pres,indc
более	более=ADVB
300	300=UNKN
млн	млн=UNKN
страниц	страница=NOUN,inan,femn,plur,gent
с	с=PREP
упоминанием	упоминание=NOUN,inan,neut,sing,ablt
конкурса	конкурс=NOUN,inan,masc,sing,gent
.	.=PNCT

vladvasyukhin	vladvasyukhin=UNKN
:	:=PNCT

dr-piliulkin	dr-piliulkin=UNKN
:	:=PNCT

y-nikita	y-nikita=UNKN
:	:=PNCT

astrenata	astrenata=UNKN
:	:=PNCT

mkdotam	mkdotam=UNKN
:	:=PNCT

catbegemot	catbegemot=UNKN
:	:=PNCT

ellantra	ellantra=UNKN
:	:=PNCT

Со	со=PREP
своими	свой=ADJF,Apro,plur,ablt
пошлыми	пошлый=ADJF,Qual,plur,ablt
глупыми	глупый=ADJF,Qual,plur,ablt
шутками	шутка=NOUN,inan,femn,plur,ablt
.	.=PNCT

bachilo	bachilo=UNKN
:	:=PNCT

Интернет-реклама	интернет-реклама=UNKN
:	:=PNCT

«	«=UNKN
Лидеры	лидер=NOUN,anim,masc,plur,nomn
Майдана	майдан=NOUN,inan,masc,sing,gent
проиграли	проиграл=VERB,perf,tran,plur,past,indc
.	.=PNCT

Петь	петь=INFN,impf,tran
со	со=PREP
смыслом	смысл=NOUN,inan,masc,sing,ablt
,	,=PNCT
разумеется	разумеюсь=VERB,impf,intr,sing,3per,pres,indc
.	.=PNCT

Декорацию	декорация=NOUN,inan,femn,sing,accs
сделал	сделал=VERB,perf,tran,masc,sing,past,indc
,	,=PNCT
по	по=PREP
обыкновению	обыкновение=NOUN,inan,neut,sing,datv
,	,=PNCT
Борис	борис=NOUN,anim,masc,Name,sing,nomn
Краснов	краснов=NOUN,anim,masc,Sgtm,Surn,sing,nomn
.	.=PNCT

Она	она=NPRO,femn,3per,sing,nomn
—	—=UNKN
актриса	актриса=NOUN,anim,femn,sing,nomn
.	.=PNCT

Их	их=ADJF,Fixd,Apro,femn,sing,nomn
цена	цена=NOUN,inan,femn,sing,nomn
выросла	вырос=VERB,perf,intr,femn,sing,past,indc
сразу	сразу=ADVB
в	в=PREP
2	2=UNKN
раза	раз=NOUN,inan,masc,sing,gent
—	—=UNKN
с	с=PREP
7,5	7,5=UNKN
до	до=PREP
15	15=UNKN
копеек	копейка=NOUN,inan,femn,plur,gent
за	за=PREP
пачку	пачка=NOUN,inan,femn,sing,accs
.	.=PNCT

Эта	этот=ADJF,Apro,femn,sing,nomn
сумма	сумма=NOUN,inan,femn,sing,nomn
составляет	составляю=VERB,impf,tran,sing,3per,pres,indc
150	150=UNKN
рублей	рубль=NOUN,inan,masc,plur,gent
за	за=PREP
тысячу	тысяча=NOUN,inan,femn,sing,accs
штук	штука=NOUN,inan,femn,plur,gent
(	(=PNCT
без	без=PREP
НДС	ндс=NOUN,inan,masc,Sgtm,Fixd,Orgn,sing,gent
)	)=PNCT
.	.=PNCT

ALT	ALT=UNKN
Linux	Linux=UNKN
:	:=PNCT

Была	есть=VERB,impf,intr,femn,sing,past,indc
паника	паника=NOUN,inan,femn,sing,nomn
,	,=PNCT
люди	человек=NOUN,anim,masc,plur,nomn
побежали	побежал=VERB,perf,intr,plur,past,indc
оттуда	оттуда=ADVB,Dmns
.	.=PNCT

Бхутто	бхутто=UNKN
заявила	заявил=VERB,perf,tran,femn,sing,past,indc
по	по=PREP
телефону	телефон=NOUN,inan,masc,sing,datv
агенству	агенству=UNKN
France-Presse	France-Presse=UNKN
:	:=PNCT

—	—=UNKN
заявил	заявил=VERB,perf,tran,masc,sing,past,indc
Матиас	матиас=UNKN
Йорш	йорш=UNKN
,	,=PNCT
докладчик	докладчик=NOUN,anim,masc,sing,nomn
ПАСЕ	пас=NOUN,inan,masc,sing,loct
,	,=PNCT
сообщает	сообщаю=VERB,impf,tran,sing,3per,pres,indc
BBC	BBC=UNKN
.	.=PNCT

—	—=UNKN
сказал	сказал=VERB,perf,tran,masc,sing,past,indc
он	он=NPRO,masc,3per,sing,nomn
.	.=PNCT

EdSlayer	EdSlayer=UNKN
:	:=PNCT

Мама	мама=NOUN,anim,femn,sing,nomn
успокоилась	успокоился=VERB,perf,intr,femn,sing,past,indc
.	.=PNCT

Футбока	футбока=UNKN
—	—=UNKN
1	1=UNKN
шт	шт=UNKN
.	.=PNCT
;	;=PNCT

Йо-йо	йо-йо=UNKN
—	—=UNKN
1	1=UNKN
шт	шт=UNKN
.	.=PNCT
;	;=PNCT

Ручка	ручка=NOUN,inan,femn,sing,nomn
шариковая	шариковый=ADJF,Qual,femn,sing,nomn
—	—=UNKN
3	3=UNKN
шт	шт=UNKN
.	.=PNCT
;	;=PNCT

Расчёска	расчёска=NOUN,inan,femn,sing,nomn
деревянная	деревянный=ADJF,Qual,femn,sing,nomn
—	—=UNKN
1	1=UNKN
шт	шт=UNKN
.	.=PNCT
;	;=PNCT

aesilve	aesilve=UNKN
:	:=PNCT

rukhakasia	rukhakasia=UNKN
:	:=PNCT

igo_kh	igo_kh=UNKN
:	:=PNCT

doctor-helot	doctor-helot=UNKN
:	:=PNCT

gaussrifle	gaussrifle=UNKN
:	:=PNCT

ПринцIP	ПринцIP=UNKN
:	:=PNCT

«	«=UNKN
Цитата	цитата=NOUN,inan,femn,sing,nomn
с	с=PREP
сайта	сайт=NOUN,inan,masc,sing,gent
«	«=UNKN
РусГидро	русгидро=UNKN
»	»=UNKN
:	:=PNCT

sajana	sajana=UNKN
:	:=PNCT

i-admire-london	i-admire-london=UNKN
:	:=PNCT

По	по=PREP
итогам	итог=NOUN,inan,masc,plur,datv
эксперимента	эксперимент=NOUN,inan,masc,sing,gent
можно	можно=PRED,pres
будет	есть=VERB,impf,intr,sing,3per,futr,indc
распространить	распространить=INFN,perf,tran
наработанную	наработанный=PRTF,perf,tran,past,pssv,femn,sing,accs
практику	практика=NOUN,inan,femn,sing,accs
на	на=PREP
всю	весь=ADJF,Apro,femn,sing,accs
страну	страна=NOUN,inan,femn,sing,accs
.	.=PNCT

«	«=UNKN
Я	я=NPRO,1per,sing,nomn
знала	знаю=VERB,impf,tran,femn,sing,past,indc
,	,=PNCT
он	он=NPRO,masc,3per,sing,nomn
бы	бы=PRCL
никогда	никогда=ADVB
меня	я=NPRO,1per,sing,accs
не	не=PRCL
бросил	бросил=VERB,perf,tran,masc,sing,past,indc
,	,=PNCT
никогда	никогда=ADVB
не	не=PRCL
забыл	забыл=VERB,perf,tran,masc,sing,past,indc
бы	бы=PRCL
обо	обо=PREP
мне	я=NPRO,1per,sing,loct
.	.=PNCT

Всего-навсего	всего-навсего=ADVB
киношка	киношка=NOUN,inan,femn,sing,nomn
.	.=PNCT

Google	Google=UNKN
хочет	хочу=VERB,impf,tran,sing,3per,pres,indc
привлечь	привлечь=INFN,perf,tran
аудиторию	аудитория=NOUN,inan,femn,sing,accs
социальными	социальный=ADJF,Qual,plur,ablt
играми	игра=NOUN,inan,femn,plur,ablt

—	—=UNKN
отмечает	отмечаю=VERB,impf,tran,sing,3per,pres,indc
режиссёр	режиссёр=NOUN,anim,masc,sing,nomn
фильма	фильм=NOUN,inan,masc,sing,gent
Крис	крис=NOUN,anim,masc,Name,sing,nomn
Райли	райли=UNKN
.	.=PNCT

Эта	этот=ADJF,Apro,femn,sing,nomn
новая	новый=ADJF,Qual,femn,sing,nomn
стратегия	стратегия=NOUN,inan,femn,sing,nomn
выработана	выработан=PRTS,perf,past,pssv,femn,sing
из	из=PREP
обсуждений	обсуждение=NOUN,inan,neut,plur,gent
с	с=PREP
космическими	космический=ADJF,plur,ablt
предприятиями	предприятие=NOUN,inan,neut,plur,ablt
,	,=PNCT
инженерами	инженер=NOUN,anim,masc,plur,ablt
,	,=PNCT
специалистами	специалист=NOUN,anim,masc,plur,ablt
.	.=PNCT

На	на=PREP
месте	место=NOUN,inan,neut,sing,loct
работает	работаю=VERB,impf,intr,sing,3per,pres,indc
следственная	следственный=ADJF,femn,sing,nomn
группа	группа=NOUN,inan,femn,sing,nomn
.	.=PNCT

Лекция	лекция=NOUN,inan,femn,sing,nomn
с	с=PREP
фокусами	фокус=NOUN,inan,masc,plur,ablt

Причём	причём=CONJ
отреагировала	отреагировал=VERB,perf,intr,femn,sing,past,indc
традиционно	традиционно=UNKN
.	.=PNCT

Гипоксия	гипоксия=NOUN,inan,femn,sing,nomn
способствует	способствую=VERB,impf,intr,sing,3per,pres,indc
возникновению	возникновение=NOUN,inan,neut,sing,datv
эйфорических	эйфорических=UNKN
состояний	состояние=NOUN,inan,neut,plur,gent
.	.=PNCT

Сломали	сломал=VERB,perf,tran,plur,past,indc
одну	один=ADJF,Apro,femn,sing,accs
империю	империя=NOUN,inan,femn,sing,accs
,	,=PNCT
покорили	покорил=VERB,perf,tran,plur,past,indc
другую	другой=ADJF,Apro,femn,sing,accs
.	.=PNCT

Никогда	никогда=ADVB
.	.=PNCT

Amazon	Amazon=UNKN
борется	борюсь=VERB,impf,intr,sing,3per,pres,indc
с	с=PREP
пиратами	пират=NOUN,anim,masc,plur,ablt

Кто	кто=NPRO,masc,sing,nomn
страшнее	страшнее=COMP,Qual
выбирай	выбираю=VERB,impf,tran,sing,impr,excl

(	(=PNCT
считалка	считалка=NOUN,inan,femn,sing,nomn
)	)=PNCT

Шутка	шутка=NOUN,inan,femn,sing,nomn
,	,=PNCT
шутка	шутка=NOUN,inan,femn,sing,nomn
.	.=PNCT

Россию	россия=NOUN,inan,femn,Sgtm,Geox,sing,accs
зовут	зову=VERB,impf,tran,plur,3per,pres,indc
в	в=PREP
европейскую	европейский=ADJF,femn,sing,accs
систему	система=NOUN,inan,femn,sing,accs
роуминга	роуминг=NOUN,inan,masc,sing,gent
.	.=PNCT

Сейчас	сейчас=ADVB
доля	доля=NOUN,inan,femn,sing,nomn
«	«=UNKN
Газпрома	газпром=NOUN,inan,masc,Orgn,sing,gent
»	»=UNKN
в	в=PREP
ОАО	оао=NOUN,inan,neut,Fixd,sing,loct
«	«=UNKN
Белтрансгаз	белтрансгаз=UNKN
»	»=UNKN
составляет	составляю=VERB,impf,tran,sing,3per,pres,indc
25	25=UNKN
%	%=UNKN
.	.=PNCT

—	—=UNKN
призывает	призываю=VERB,impf,tran,sing,3per,pres,indc
священник	священник=NOUN,anim,masc,sing,nomn
.	.=PNCT

—	—=UNKN
пишет	пишу=VERB,impf,tran,sing,3per,pres,indc
Чаплин	чаплин=NOUN,anim,masc,Sgtm,Surn,sing,nomn
.	.=PNCT

•	•=UNKN
Марк	марк=NOUN,anim,masc,Name,sing,nomn
Шилд	шилд=UNKN
(	(=PNCT
Австралия	австралия=NOUN,inan,femn,Sgtm,Geox,sing,nomn
)	)=PNCT

•	•=UNKN
Грэм	грэм=NOUN,anim,masc,Name,sing,nomn
Полл	полл=UNKN
(	(=PNCT
Англия	англия=NOUN,inan,femn,Sgtm,Geox,sing,nomn
)	)=PNCT

•	•=UNKN
Кирос	кирос=UNKN
Вассарас	вассарас=UNKN
(	(=PNCT
Греция	греция=NOUN,inan,femn,Sgtm,Geox,sing,nomn
)	)=PNCT

•	•=UNKN
Массимо	массимо=UNKN
Де	де=PRCL
Сантис	сантис=UNKN
(	(=PNCT
Италия	италия=NOUN,inan,femn,Sgtm,Geox,sing,nomn
)	)=PNCT

•	•=UNKN
Любош	любош=UNKN
Михел	михел=UNKN
(	(=PNCT
Словакия	словакия=NOUN,inan,femn,Sgtm,Geox,sing,nomn
)	)=PNCT

•	•=UNKN
Массимо	массимо=UNKN
Бузакка	бузакка=UNKN
(	(=PNCT
Швейцария	швейцария=NOUN,inan,femn,Sgtm,Geox,sing,nomn
)	)=PNCT

•	•=UNKN
Бенито	бенито=UNKN
Арчундия	арчундия=UNKN
(	(=PNCT
Мексика	мексика=NOUN,inan,femn,Sgtm,Geox,sing,nomn
)	)=PNCT

•	•=UNKN
Петер	петер=NOUN,anim,masc,Name,sing,nomn
Прендергаст	прендергаст=UNKN
(	(=PNCT
Ямайка	ямайка=NOUN,inan,femn,Sgtm,Geox,sing,nomn
)	)=PNCT

•	•=UNKN
Горацио	горацио=UNKN
Элисондо	элисондо=UNKN
(	(=PNCT
Аргентина	аргентина=NOUN,inan,femn,Sgtm,Geox,sing,nomn
)	)=PNCT

8	8=UNKN
апреля	апрель=NOUN,inan,masc,sing,gent
Токарев	токарев=NOUN,anim,masc,Sgtm,Surn,sing,nomn
,	,=PNCT
Уильямс	уильямс=NOUN,anim,masc,Name,sing,nomn
и	и=CONJ
бразилец	бразилец=NOUN,anim,masc,sing,nomn
Понтес	понтес=UNKN
вернутся	вернулся=VERB,perf,intr,plur,3per,futr,indc
на	на=PREP
Землю	земля=NOUN,inan,femn,sing,accs
.	.=PNCT

•	•=UNKN
Андорра	андорра=NOUN,inan,femn,Sgtm,Geox,sing,nomn

•	•=UNKN
Австралия	австралия=NOUN,inan,femn,Sgtm,Geox,sing,nomn

•	•=UNKN
Бельгия	бельгия=NOUN,inan,femn,Sgtm,Geox,sing,nomn

•	•=UNKN
Канада	канада=NOUN,inan,femn,Sgtm,Geox,sing,nomn

•	•=UNKN
Чехия	чехия=NOUN,inan,femn,Sgtm,Geox,sing,nomn

•	•=UNKN
Англия	англия=NOUN,inan,femn,Sgtm,Geox,sing,nomn

•	•=UNKN
Исландия	исландия=NOUN,inan,femn,Sgtm,Geox,sing,nomn

•	•=UNKN
Ирландия	ирландия=NOUN,inan,femn,Sgtm,Geox,sing,nomn

•	•=UNKN
Мальта	мальта=NOUN,inan,femn,Sgtm,Geox,sing,nomn

•	•=UNKN
Намибия	намибия=NOUN,inan,femn,Sgtm,Geox,sing,nomn

•	•=UNKN
Норвегия	норвегия=NOUN,inan,femn,Sgtm,Geox,sing,nomn

•	•=UNKN
Палестина	палестина=NOUN,inan,femn,Sgtm,Geox,sing,nomn

•	•=UNKN
Словакия	словакия=NOUN,inan,femn,Sgtm,Geox,sing,nomn

•	•=UNKN
Испания	испания=NOUN,inan,femn,Sgtm,Geox,sing,nomn

•	•=UNKN
Швейцария	швейцария=NOUN,inan,femn,Sgtm,Geox,sing,nomn

•	•=UNKN
Турция	турция=NOUN,inan,femn,Sgtm,Geox,sing,nomn

•	•=UNKN
Аргентина	аргентина=NOUN,inan,femn,Sgtm,Geox,sing,nomn

•	•=UNKN
Бермуды	бермуды=UNKN

•	•=UNKN
Эфиопия	эфиопия=NOUN,inan,femn,Sgtm,Geox,sing,nomn

•	•=UNKN
Грузия	грузия=NOUN,inan,femn,Sgtm,Geox,sing,nomn

•	•=UNKN
Греция	греция=NOUN,inan,femn,Sgtm,Geox,sing,nomn

•	•=UNKN
Иордания	иордания=NOUN,inan,femn,Sgtm,Geox,sing,nomn

•	•=UNKN
Ливия	ливия=NOUN,inan,femn,Sgtm,Geox,sing,nomn

•	•=UNKN
Молдавия	молдавия=NOUN,inan,femn,Sgtm,Geox,sing,nomn

•	•=UNKN
Нигерия	нигерия=NOUN,inan,femn,Sgtm,Geox,sing,nomn

•	•=UNKN
Россия	россия=NOUN,inan,femn,Sgtm,Geox,sing,nomn

•	•=UNKN
Сирия	сирия=NOUN,inan,femn,Sgtm,Geox,sing,nomn

•	•=UNKN
Туркмения	туркмения=NOUN,inan,femn,Sgtm,Geox,sing,nomn

•	•=UNKN
Уганда	уганда=NOUN,inan,femn,Sgtm,Geox,sing,nomn

•	•=UNKN
Замбия	замбия=NOUN,inan,femn,Sgtm,Geox,sing,nomn

•	•=UNKN
6	6=UNKN
апреля	апрель=NOUN,inan,masc,sing,gent
,	,=PNCT
1-я	1-я=UNKN
партия	партия=NOUN,inan,femn,sing,nomn

•	•=UNKN
•	•=UNKN
Нисипяну	нисипяну=UNKN
—	—=UNKN
Топалов	топалов=UNKN
0,5	0,5=UNKN
:	:=PNCT
0,5	0,5=UNKN

•	•=UNKN
7	7=UNKN
апреля	апрель=NOUN,inan,masc,sing,gent
,	,=PNCT
2-я	2-я=UNKN
партия	партия=NOUN,inan,femn,sing,nomn

•	•=UNKN
•	•=UNKN
Топалов	топалов=UNKN
—	—=UNKN
Нисипяну	нисипяну=UNKN
1	1=UNKN
:	:=PNCT
0	0=UNKN

•	•=UNKN
8	8=UNKN
апреля	апрель=NOUN,inan,masc,sing,gent
,	,=PNCT
3-я	3-я=UNKN
партия	партия=NOUN,inan,femn,sing,nomn

•	•=UNKN
•	•=UNKN
Нисипяну	нисипяну=UNKN
—	—=UNKN
Топалов	топалов=UNKN
0,5	0,5=UNKN
:	:=PNCT
0,5	0,5=UNKN

•	•=UNKN
9	9=UNKN
апреля	апрель=NOUN,inan,masc,sing,gent
,	,=PNCT
4-я	4-я=UNKN
партия	партия=NOUN,inan,femn,sing,nomn

•	•=UNKN
•	•=UNKN
Топалов	топалов=UNKN
—	—=UNKN
Нисипяну	нисипяну=UNKN
1	1=UNKN
:	:=PNCT
0	0=UNKN

сказал	сказал=VERB,perf,tran,masc,sing,past,indc
Клинсман	клинсман=UNKN
.	.=PNCT

—	—=UNKN
сказал	сказал=VERB,perf,tran,masc,sing,past,indc
Клинсман	клинсман=UNKN
.	.=PNCT

говорит	говорю=VERB,impf,tran,sing,3per,pres,indc
Проди	проди=UNKN
.	.=PNCT

сказал	сказал=VERB,perf,tran,masc,sing,past,indc
Платцек	платцек=UNKN
.	.=PNCT

•	•=UNKN
Коалиция	коалиция=NOUN,inan,femn,sing,nomn
Проди	проди=UNKN
—	—=UNKN
50,73	50,73=UNKN
%	%=UNKN

•	•=UNKN
